Draw_Number,Winning_Number_1,Winning_Number_2,Winning_Number_3,Winning_Number_4,Winning_Number_5,Winning_Number_6
353011,17,23,31,35,48,53
353111,16,26,39,44,46,51
353211,7,9,27,28,47,54
353311,1,3,20,36,45,48
353411,1,18,28,41,48,52
353511,1,5,23,25,30,55
353611,3,8,27,30,43,58
353711,1,6,8,42,51,53
353811,1,24,34,37,38,58
353911,2,5,24,49,53,55
354011,5,7,11,20,37,44
354111,1,2,34,45,46,58
354211,6,18,21,26,27,29
354311,18,23,24,38,44,50
354411,2,10,35,36,45,52
354511,8,11,14,27,39,50
354611,5,8,21,39,43,58
354711,3,14,16,19,24,40
354811,16,22,23,28,30,42
354911,1,15,18,19,23,44
355011,3,4,31,32,40,49
355111,3,11,34,35,43,48
355211,5,17,21,37,48,52
355311,1,25,26,43,50,54
355411,2,14,23,26,32,33
355511,12,14,33,40,42,51
355611,5,7,16,24,25,41
355711,1,29,30,32,46,57
355811,15,20,21,38,42,55
355911,11,17,23,41,42,46
356011,17,26,36,37,43,53
356111,10,15,34,37,40,46
356211,12,18,27,34,41,49
356311,18,20,49,52,53,57
356411,7,22,34,45,49,57
356511,3,25,31,32,41,42
356611,3,16,24,29,53,55
356711,2,3,4,6,13,35
356811,3,4,11,17,27,44
356911,18,23,30,32,45,53
357011,2,23,31,32,44,55
357111,4,10,20,30,43,46
357211,8,27,28,29,40,48
357311,2,3,14,21,25,45
357411,8,15,22,28,36,55
357511,9,14,18,37,49,52
357611,23,29,31,35,37,46
357711,7,16,40,41,50,53
357811,14,23,34,43,53,55
357911,28,37,43,48,51,56
358011,7,8,12,14,40,43
358111,21,34,38,42,45,46
358211,34,40,50,53,55,58
358311,10,14,23,30,36,48
358411,7,17,28,30,36,44
358511,9,18,21,39,50,58
358611,8,29,37,40,42,53
358711,6,7,13,42,46,54
358811,27,33,34,45,47,56
358911,11,29,39,44,56,57
359011,2,13,17,27,33,53
359111,3,21,30,31,39,55
359211,27,35,36,37,38,49
359311,4,12,13,27,33,58
359411,1,2,6,8,28,58
359511,15,30,33,36,38,41
359611,7,33,35,36,43,49
359711,5,10,12,22,25,37
359811,5,8,24,33,44,47
359911,5,9,11,34,43,44
360011,16,17,19,21,38,57
360111,11,14,16,23,49,58
360211,21,26,36,41,44,45
360311,12,21,23,27,29,44
360411,9,13,19,26,35,40
360511,1,3,17,31,35,39
360611,12,17,28,42,50,57
360711,5,25,28,36,39,42
360811,13,26,34,38,39,44
360911,12,15,21,28,42,58
361011,11,18,19,24,56,58
361111,20,27,35,36,43,57
361211,2,7,13,20,39,48
361311,2,3,12,16,34,35
361411,17,36,39,40,41,44
361511,1,9,11,20,24,54
361611,11,15,22,37,38,42
361711,2,7,10,14,24,35
361811,2,20,25,26,29,53
361911,6,17,31,42,43,48
362011,5,23,26,29,31,58
362111,3,7,15,20,45,53
362211,4,24,27,31,49,57
362311,15,32,36,45,55,58
362411,3,28,43,46,56,57
362511,6,8,9,11,23,56
362611,6,16,20,21,39,52
362711,7,16,21,40,41,43
362811,5,13,26,34,49,51
362911,9,19,29,41,54,58
363011,5,13,38,47,50,51
363111,17,36,43,44,45,51
363211,4,5,21,47,51,52
363311,3,12,25,27,42,52
363411,6,8,22,25,30,57
363511,5,17,20,46,55,58
363612,7,15,16,19,24,51
363712,18,21,42,44,48,56
363812,4,29,39,41,43,52
363912,13,15,16,18,43,45
364012,5,9,13,17,35,41
364112,3,13,30,31,34,52
364212,2,7,10,17,23,29
364312,1,7,19,37,46,55
364412,2,12,24,25,32,33
364512,9,26,32,34,51,57
364612,7,25,26,35,43,50
364712,11,13,24,39,44,54
364812,4,12,36,38,46,50
364912,9,19,30,31,35,38
365012,3,12,30,32,36,47
365112,11,13,14,37,42,51
365212,7,38,39,48,57,58
365312,3,10,15,16,28,53
365412,8,17,24,49,54,57
365512,6,11,43,49,55,58
365612,7,21,24,25,52,57
365712,9,15,28,34,36,56
365812,10,17,38,39,50,58
365912,21,29,30,35,46,58
366012,1,11,19,20,43,58
366112,10,11,16,36,39,56
366212,8,17,23,25,28,42
366312,10,17,19,24,53,56
366412,18,19,37,42,51,53
366512,3,20,50,53,55,57
366612,11,21,22,51,53,54
366712,1,4,26,41,44,50
366812,3,9,20,29,41,58
366912,1,24,31,38,43,45
367012,1,26,35,37,47,58
367112,11,15,24,42,53,58
367212,9,15,22,31,40,49
367312,13,20,31,36,50,54
367412,4,16,21,26,31,50
367512,10,19,25,40,42,54
367612,5,19,31,50,54,57
367712,14,24,40,42,43,57
367812,9,18,22,28,38,39
367912,14,18,20,44,47,48
368012,14,18,30,33,47,52
368112,3,20,48,52,56,57
368212,10,12,24,27,36,38
368312,2,3,20,28,42,48
368412,7,17,25,38,48,50
368512,11,14,30,35,46,55
368612,3,9,22,25,34,35
368712,9,19,27,38,45,46
368812,16,18,46,51,54,57
368912,2,9,10,28,35,36
369012,6,9,17,18,26,47
369112,10,37,44,45,51,54
369212,3,8,19,20,33,40
369312,12,19,23,39,40,53
369412,8,11,15,20,33,34
369512,15,26,39,40,52,54
369612,4,26,36,41,45,52
369712,28,38,40,46,52,53
369812,5,7,16,23,26,39
369912,16,22,23,26,31,58
370012,17,32,41,42,44,58
370112,10,13,16,26,36,56
370212,4,7,10,38,50,57
370312,2,10,25,28,31,36
370412,14,21,30,31,48,51
370512,9,14,17,19,26,52
370612,8,11,20,49,57,58
370712,15,17,18,31,49,55
370812,4,20,45,49,50,58
370912,4,5,24,25,31,34
371012,7,9,33,36,40,56
371112,20,24,25,32,50,52
371212,10,19,21,34,42,45
371312,13,20,22,23,52,58
371412,30,41,45,46,47,58
371512,5,27,29,41,43,51
371612,3,23,25,48,51,57
371712,5,26,30,40,51,57
371812,7,12,18,30,41,44
371912,8,30,35,38,46,50
372012,2,19,21,30,41,42
372112,15,25,28,29,35,37
372212,13,16,19,30,32,56
372312,6,12,39,42,53,58
372412,2,7,12,25,29,33
372512,7,14,43,45,46,53
372612,17,23,37,39,44,46
372712,1,2,20,34,50,54
372812,11,12,24,25,36,53
372912,18,20,30,45,57,58
373012,9,11,18,20,21,50
373112,3,5,14,27,31,40
373212,2,6,14,32,34,50
373312,6,12,20,33,40,56
373412,3,4,14,21,31,54
373512,12,20,25,26,27,56
373612,15,28,46,49,53,57
373712,25,32,33,40,51,57
373812,2,27,46,49,50,57
373912,25,31,32,41,51,53
374012,4,5,28,38,43,56
374112,11,17,22,32,50,51
374212,1,10,14,27,41,47
374312,20,22,34,35,39,48
374412,4,9,11,13,44,46
374512,14,31,33,42,47,58
374612,9,26,32,33,35,36
374712,1,8,11,12,40,49
374812,5,13,17,19,32,52
374912,18,22,24,37,38,48
375012,2,15,17,31,37,41
375112,19,20,27,34,37,58
375212,19,20,30,31,35,38
375312,2,8,34,36,41,47
375412,7,12,14,20,21,29
375512,1,9,32,35,37,45
375612,3,14,20,28,30,43
375712,1,20,26,33,49,55
375812,12,22,42,44,48,51
375912,7,13,20,34,35,43
376012,7,9,11,13,46,57
376112,8,22,25,36,57,58
376212,2,8,21,32,34,53
376312,5,29,40,44,51,58
376412,4,10,20,21,52,55
376512,12,16,35,40,41,58
376612,22,32,38,39,45,57
376712,9,13,16,18,33,54
376812,2,13,19,30,50,51
376912,2,14,22,23,25,43
377012,3,9,11,12,47,57
377112,10,22,30,31,32,52
377212,1,5,11,13,16,53
377312,6,11,13,21,46,51
377412,7,16,26,37,38,49
377512,10,15,16,21,31,45
377612,2,16,34,39,49,56
377712,5,6,8,40,41,47
377812,6,20,48,50,51,56
377912,11,19,32,52,53,56
378012,16,19,20,21,39,58
378112,3,26,27,28,32,57
378212,4,26,33,36,40,42
378312,1,4,8,20,29,42
378412,3,4,23,46,49,53
378512,2,11,17,20,29,58
378612,29,42,43,45,49,51
378712,6,23,26,40,41,57
378812,8,10,16,20,49,57
378912,1,9,17,39,51,58
379012,6,20,28,29,31,42
379112,7,13,37,45,52,57
379212,1,9,14,26,41,52
379312,2,3,14,19,32,36
379412,3,25,39,40,55,56
379512,18,25,27,29,36,54
379612,21,30,52,53,56,57
379712,4,15,22,24,43,49
379812,8,14,41,45,48,51
379912,13,23,34,46,53,55
380012,4,15,23,32,47,58
380112,4,8,28,33,46,47
380212,1,7,10,36,44,46
380312,1,8,24,44,46,48
380412,3,5,6,18,22,39
380512,1,9,27,45,50,53
380612,5,6,15,35,39,40
380712,7,11,39,47,49,58
380812,6,10,12,48,49,57
380912,9,10,17,37,42,56
381012,13,14,21,27,34,44
381112,20,38,44,46,50,55
381212,7,33,36,40,46,50
381312,5,6,16,21,51,57
381412,11,20,30,31,33,48
381513,11,12,20,22,28,46
381613,13,24,29,32,38,46
381713,3,19,27,32,52,53
381813,4,10,13,15,37,51
381913,6,15,26,44,47,52
382013,1,9,27,40,48,58
382113,5,8,20,41,53,58
382213,3,20,22,26,27,33
382313,1,21,29,35,42,55
382413,3,9,20,38,40,58
382513,6,14,23,29,47,53
382613,7,18,28,29,31,42
382713,1,6,23,32,35,57
382813,1,3,20,21,25,33
382913,4,7,12,17,41,46
383013,1,15,39,42,43,45
383113,7,19,27,41,43,56
383213,12,22,34,46,53,55
383313,3,9,28,30,38,49
383413,12,29,32,46,51,52
383513,1,5,17,21,24,30
383613,17,19,25,31,37,40
383713,5,6,8,21,38,40
383813,27,30,37,43,48,49
383913,13,25,26,27,29,50
384013,6,17,29,39,41,46
384113,21,30,31,41,44,52
384213,20,24,27,28,37,54
384313,7,17,33,34,35,45
384413,1,3,5,21,30,38
384513,2,37,42,45,47,57
384613,23,27,33,45,49,55
384713,1,2,41,48,57,58
384813,12,14,31,34,37,43
384913,1,36,43,46,48,52
385013,6,7,22,30,34,43
385113,9,15,30,31,38,52
385213,4,19,24,42,49,53
385313,13,23,28,36,37,46
385413,17,18,27,42,45,48
385513,2,12,37,54,56,57
385613,2,16,21,31,41,46
385713,23,24,30,50,55,56
385813,2,3,9,30,31,32
385913,32,34,40,47,48,49
386013,20,32,39,41,52,53
386113,3,5,15,35,36,44
386213,11,14,18,19,44,51
386313,11,16,27,38,50,54
386413,11,18,21,25,47,58
386513,14,20,27,31,36,48
386613,2,27,31,38,54,55
386713,4,9,23,26,42,47
386813,5,22,35,42,43,56
386913,26,31,33,45,51,56
387013,1,21,25,38,41,52
387113,12,30,32,37,41,47
387213,22,23,35,40,46,56
387313,2,8,15,48,50,54
387413,5,27,41,45,50,54
387513,9,16,23,30,42,47
387613,10,19,21,33,40,57
387713,18,20,23,25,37,45
387813,5,23,24,29,39,43
387913,11,24,33,34,51,58
388013,6,20,23,25,34,44
388113,17,36,37,44,46,47
388213,13,30,42,44,49,52
388313,3,6,25,29,34,48
388413,19,37,40,45,48,49
388513,2,4,10,33,37,54
388613,17,29,34,53,55,57
388713,10,19,42,43,53,56
388813,8,16,20,43,48,54
388913,22,26,38,42,43,49
389013,12,15,20,29,37,52
389113,14,22,24,31,35,55
389213,1,7,9,33,37,48
389313,8,10,12,23,49,54
389413,1,10,25,29,36,50
389513,18,29,32,34,51,52
389613,4,14,25,48,51,58
389713,9,28,32,43,48,50
389813,1,5,6,17,20,23
389913,14,24,30,34,40,54
390013,14,25,32,44,56,57
390113,4,13,14,15,27,57
390213,5,10,14,18,24,55
390313,18,19,36,38,44,58
390413,5,9,15,38,56,57
390513,17,20,29,34,40,48
390613,2,25,26,33,35,36
390713,8,12,15,16,36,48
390813,14,34,37,44,46,52
390913,3,7,15,19,23,52
391013,9,20,21,25,31,50
391113,4,10,24,30,35,45
391213,19,21,40,43,52,58
391313,5,20,44,53,54,57
391413,8,15,19,32,34,37
391513,7,16,34,42,49,53
391613,11,14,23,41,47,49
391713,7,18,23,41,47,56
391813,4,7,14,31,39,51
391913,1,5,7,14,40,44
392013,3,15,21,34,47,56
392113,2,5,16,34,46,55
392213,1,3,5,29,44,48
392313,9,24,33,37,42,48
392413,2,9,11,36,41,57
392513,17,20,38,44,49,54
392613,13,23,41,48,49,57
392713,10,16,43,46,51,57
392813,2,17,30,34,39,57
392913,13,25,27,29,32,37
393013,7,26,38,42,45,52
393113,11,31,42,52,53,58
393213,6,15,16,20,39,57
393313,6,11,24,43,46,55
393413,7,23,32,34,49,51
393513,12,14,15,23,26,41
393613,5,9,12,14,15,16
393713,1,21,36,37,40,44
393813,3,17,21,29,47,55
393913,2,8,19,22,26,32
394013,3,18,20,37,54,58
394113,1,13,24,26,32,44
394213,16,27,36,43,55,56
394313,4,14,15,24,42,49
394413,12,14,19,27,46,47
394513,7,11,12,22,26,28
394613,4,9,13,15,45,58
394713,21,24,32,33,56,58
394813,11,14,26,32,41,56
394913,5,8,12,36,50,57
395013,9,18,30,35,50,54
395113,3,11,15,25,32,58
395213,6,21,35,36,39,48
395313,16,27,31,44,46,54
395413,6,23,26,28,48,57
395513,4,12,23,35,37,44
395613,8,20,28,31,50,52
395713,26,41,43,44,54,58
395813,9,19,30,38,47,57
395913,5,12,21,32,42,51
396013,8,15,22,24,33,58
396113,12,15,22,31,45,57
396213,10,27,28,45,49,52
396313,3,9,30,37,38,50
396413,10,20,36,40,41,57
396513,12,34,42,47,48,52
396613,6,14,19,23,55,56
396713,3,27,28,37,40,42
396813,1,8,22,27,38,40
396913,7,8,16,31,50,56
397013,8,18,19,28,30,31
397113,4,5,15,21,43,51
397213,20,31,41,43,49,50
397313,5,7,17,28,43,54
397413,10,15,16,36,42,55
397513,22,27,33,36,38,56
397613,16,21,34,37,42,50
397713,4,13,25,35,36,43
397813,5,8,15,30,48,54
397913,7,8,25,31,49,53
398013,5,7,12,16,32,44
398113,1,8,9,33,36,45
398213,9,14,24,25,31,56
398313,2,8,33,40,53,58
398413,6,19,20,37,53,55
398513,36,39,47,48,49,58
398613,12,16,27,42,45,54
398713,12,17,24,29,39,51
398813,22,32,35,38,45,51
398913,13,28,40,49,53,56
399013,5,12,21,37,40,56
399113,9,10,11,17,35,57
399213,3,11,19,34,36,53
399314,1,32,38,41,48,52
399414,3,5,21,24,27,41
399514,16,24,33,37,41,45
399614,3,19,20,22,41,47
399714,12,13,14,15,38,45
399814,1,11,37,41,43,48
399914,20,32,35,44,47,48
400014,5,8,20,25,49,50
400114,3,16,21,40,44,54
400214,4,6,10,13,48,56
400314,19,20,25,41,50,54
400414,3,14,22,25,30,50
400514,2,9,28,33,44,54
400614,14,18,21,28,35,47
400714,2,21,24,29,37,55
400814,3,10,13,14,22,25
400914,30,33,39,42,51,52
401014,11,15,30,41,54,55
401114,9,10,11,18,25,58
401214,24,25,32,35,40,56
401314,4,8,10,26,52,58
401414,10,15,22,34,51,53
401514,18,19,34,36,44,48
401614,1,8,27,42,43,45
401714,1,5,18,19,25,55
