Draw_Number,Winning_Number_1,Winning_Number_2,Winning_Number_3,Winning_Number_4,Winning_Number_5,Winning_Number_6
423815,2,4,28,36,52,53
423915,9,29,30,31,37,42
424015,21,24,25,28,31,51
424115,11,14,15,31,56,58
424215,25,42,44,48,50,54
424315,2,19,25,53,57,58
424415,3,4,23,33,35,58
424515,15,17,19,27,36,46
424615,6,19,25,39,46,58
424715,7,11,21,25,35,39
424815,5,26,31,40,44,57
424915,5,16,23,28,55,57
425015,39,40,41,45,56,58
425115,14,18,31,39,44,52
425215,3,7,19,30,42,49
425315,1,11,22,31,36,40
425415,8,13,20,31,35,44
425515,17,27,36,43,46,47
425615,2,4,11,31,45,53
425715,27,32,38,44,56,58
425815,1,5,25,49,51,54
425915,29,46,47,48,54,57
426015,3,8,24,25,26,41
426115,2,7,16,23,48,54
426215,22,25,26,46,51,52
426315,8,9,21,30,35,56
426415,27,30,42,51,54,58
426515,1,7,9,20,27,57
426615,11,20,27,37,46,48
426715,2,10,19,30,32,38
426815,3,4,12,49,50,53
426915,4,25,29,47,54,55
427015,9,15,29,34,51,56
427115,8,10,12,27,29,38
427215,1,14,23,25,30,48
427315,1,12,16,24,52,53
427415,2,32,33,40,46,55
427515,1,17,21,25,33,46
427615,28,32,45,50,54,57
427715,7,11,14,19,47,51
427815,3,10,22,23,29,46
427915,7,8,18,40,43,56
428015,8,17,21,30,32,41
428115,6,25,30,32,34,43
428215,1,7,12,28,35,40
428315,16,19,21,23,25,57
428415,27,30,34,39,47,48
428515,8,31,32,33,43,49
428615,6,8,12,39,49,58
428715,26,37,44,45,47,48
428815,6,12,15,34,37,44
428915,1,4,9,15,56,57
429015,7,9,20,30,37,38
429115,12,14,46,51,52,57
429215,5,24,30,39,45,48
429315,1,15,18,23,24,57
429415,2,3,34,41,49,57
429515,11,20,29,35,37,39
429615,1,35,40,46,52,54
429715,1,9,23,32,44,55
429815,1,24,37,44,49,57
429915,6,13,22,44,45,55
430015,12,13,14,26,27,39
430115,5,20,22,28,38,57
430215,3,4,5,36,44,46
430315,9,28,29,34,37,38
430415,8,10,24,30,36,44
430515,6,12,20,39,50,55
430615,19,25,33,49,55,57
430715,21,37,38,40,43,54
430815,11,15,29,49,52,55
430915,4,5,11,38,51,56
431015,24,45,46,51,54,55
431115,10,22,27,38,43,53
431215,27,28,41,43,44,56
431315,14,18,31,41,44,57
431415,8,13,14,27,30,45
431515,1,8,23,44,45,54
431615,15,17,20,43,54,58
431715,1,4,33,35,37,54
431815,31,32,36,43,48,58
431915,3,13,22,40,44,47
432015,3,15,37,50,55,56
432115,3,15,17,23,25,27
432215,5,24,32,38,49,53
432315,27,29,34,41,50,52
432415,33,47,49,53,56,57
432515,6,14,18,35,50,54
432615,21,27,39,50,51,53
432715,5,9,14,41,44,55
432815,1,7,12,29,34,41
432915,9,12,37,41,45,47
433015,5,26,28,46,51,53
433115,4,6,24,27,43,49
433215,15,24,27,41,48,58
433315,3,11,18,35,47,56
433415,27,41,48,49,51,58
433515,22,33,40,50,54,56
433615,20,21,24,45,49,52
433715,35,38,41,42,43,52
433815,6,23,24,32,34,57
433915,6,18,46,47,56,58
434015,7,16,22,48,53,56
434115,4,12,17,38,39,41
434215,1,19,32,38,51,58
434315,15,16,25,26,40,57
434415,4,11,26,33,46,47
434515,10,21,25,30,45,46
434615,8,23,31,32,42,45
434715,13,15,20,23,52,57
434815,5,12,21,30,31,46
434915,6,7,31,50,52,55
435016,1,21,29,34,57,58
435116,5,26,27,28,33,51
435216,19,20,23,25,29,54
435316,7,13,16,19,26,42
435416,13,16,25,32,33,47
435516,1,11,14,32,45,55
435616,14,29,39,43,45,47
435716,7,10,24,36,37,45
435816,14,15,17,34,51,55
435916,4,5,40,46,52,55
436016,3,4,25,28,31,57
436116,2,16,33,44,54,56
436216,16,35,36,37,47,53
436316,4,7,10,14,29,34
436416,1,10,12,34,36,49
436516,3,5,26,28,47,50
436616,2,6,9,21,26,29
436716,17,20,25,43,48,52
436816,27,33,36,50,51,57
436916,37,43,44,48,53,55
437016,13,27,31,40,46,55
437116,7,13,16,23,28,29
437216,10,11,24,25,34,44
437316,8,15,31,36,55,56
437416,3,6,13,31,52,54
437516,3,10,21,27,42,50
437616,20,32,39,43,53,58
437716,19,29,39,48,55,58
437816,8,16,27,33,48,57
437916,14,19,30,33,44,52
438016,3,11,15,26,34,37
438116,12,14,15,24,30,44
438216,8,19,25,26,31,35
438316,10,19,26,42,44,45
438416,17,18,32,42,49,52
438516,4,11,33,39,43,44
438616,11,25,28,40,42,45
438716,5,8,35,36,46,47
438816,12,13,16,21,27,50
438916,11,29,45,49,51,52
439016,17,22,29,32,38,46
439116,14,20,21,36,47,58
439216,4,7,20,22,23,26
439316,17,22,26,29,44,50
439416,16,32,33,39,44,54
439516,3,5,11,14,23,56
439616,1,6,17,29,31,34
439716,9,10,32,33,46,58
439816,6,9,17,18,28,53
439916,2,10,37,45,52,54
440016,3,4,27,40,44,51
440116,5,19,31,39,42,44
440216,2,20,24,34,41,51
440316,17,25,31,34,37,52
440416,2,4,6,13,23,33
440516,4,10,11,17,33,44
440616,5,28,34,51,54,55
440716,11,23,27,29,37,55
440816,12,15,16,35,36,46
440916,5,8,15,36,40,52
441016,4,12,29,36,40,51
441116,1,9,10,13,26,31
441216,5,14,24,33,46,57
441316,15,19,36,40,41,51
441416,10,28,31,32,41,52
441516,11,35,37,42,43,56
441616,1,35,36,38,42,58
441716,6,11,21,24,29,56
441816,10,37,44,46,54,56
441916,11,14,33,40,47,53
442016,4,6,8,15,18,34
442116,4,16,49,51,55,56
442216,1,13,28,41,46,54
442316,10,17,19,46,50,52
442416,2,3,9,25,45,53
442516,27,29,30,41,42,53
442616,1,10,11,38,48,54
442716,2,10,15,34,46,54
442816,24,31,47,49,53,58
442916,2,5,11,15,42,46
443016,5,7,39,43,52,57
443116,10,17,19,20,40,42
443216,8,30,36,47,50,52
443316,2,14,33,39,42,52
443416,10,12,23,37,46,55
443516,2,6,9,34,36,51
443616,4,10,11,12,42,48
443716,3,5,13,44,53,54
443816,12,21,27,41,54,55
443916,11,12,30,35,37,51
444016,2,8,14,28,44,49
444116,1,2,4,6,40,46
444216,8,19,26,33,41,43
444316,1,15,33,42,49,53
444416,2,17,19,33,47,56
444516,12,19,21,26,40,57
444616,10,29,36,38,47,49
444716,19,31,36,41,43,49
444816,36,40,45,52,54,58
444916,1,2,10,20,37,57
445016,6,25,29,36,48,58
445116,1,20,23,28,53,58
445216,2,5,12,35,36,41
445316,1,13,18,19,45,53
445416,1,12,37,47,50,52
445516,8,18,19,25,29,33
445616,5,19,33,44,50,57
445716,19,21,22,34,41,56
445816,4,7,11,14,16,44
445916,9,10,25,31,34,55
446016,22,30,37,41,46,48
446116,7,9,10,11,39,50
446216,11,13,16,17,27,46
446316,7,23,28,39,43,58
446416,2,16,26,32,49,58
446516,5,11,16,18,19,34
446616,9,15,16,33,45,49
446716,7,13,16,32,42,53
446816,5,6,21,36,37,43
446916,12,22,25,26,29,39
447016,6,11,13,19,53,58
447116,3,17,30,31,34,36
447216,12,22,24,38,43,48
447316,3,12,18,19,46,51
447416,16,23,31,39,43,55
447516,14,18,24,41,43,45
447616,11,14,34,40,42,51
447716,6,18,21,31,48,54
447816,3,10,16,17,20,25
447916,12,21,22,39,41,54
448016,30,42,43,46,52,58
448116,1,14,35,36,42,50
448216,10,14,15,23,28,47
448316,5,7,16,27,39,58
448416,4,11,14,25,41,51
448516,14,16,26,35,48,49
448616,4,27,28,39,53,58
448716,4,11,12,14,26,31
448816,17,21,23,27,31,37
448916,10,16,30,31,34,46
449016,11,12,16,19,35,41
449116,9,28,46,47,52,54
449216,29,33,37,46,50,54
449316,13,27,28,31,32,58
449416,4,36,39,40,44,47
449516,28,31,35,50,52,58
449616,3,4,12,13,44,51
449716,11,18,26,37,55,58
449816,15,22,28,40,43,52
449916,23,35,40,41,42,48
450016,12,16,35,41,46,48
450116,7,11,15,22,56,57
450216,2,21,39,45,52,57
450316,14,21,38,42,50,56
450416,1,17,23,26,36,55
450516,1,10,21,27,51,57
450616,19,30,40,44,45,50
450716,12,22,34,36,39,50
450816,9,13,24,26,36,53
450916,22,34,40,42,48,52
451016,21,27,30,45,54,58
451116,1,18,27,44,45,46
451216,1,6,15,18,26,27
451316,19,25,28,36,44,49
451416,5,19,23,37,42,55
451516,7,10,34,38,50,52
451616,11,12,17,19,41,53
451716,14,20,37,50,51,52
451816,7,10,12,15,28,57
451916,8,17,21,25,35,50
452016,1,6,26,35,38,43
452116,2,14,22,27,51,52
452216,6,11,17,25,36,52
452316,25,27,33,38,40,50
452416,2,25,33,48,52,57
452516,2,28,37,39,49,50
452616,3,8,26,29,32,36
452716,15,28,32,46,55,56
452816,2,3,9,14,16,23
452917,2,7,14,16,24,45
453017,11,14,25,46,54,58
453117,19,20,23,50,53,54
453217,3,6,19,34,36,47
453317,1,24,26,28,32,53
453417,11,12,15,23,29,51
453517,1,22,36,43,54,58
453617,38,39,45,46,52,58
453717,23,33,48,49,51,58
453817,1,5,8,32,37,49
453917,4,29,37,45,46,50
454017,6,10,29,34,45,52
454117,1,25,26,39,52,55
454217,8,24,33,36,54,56
454317,4,16,26,28,30,31
454417,3,7,11,27,32,57
454517,7,10,17,28,51,57
454617,3,4,18,38,44,52
454717,8,17,33,35,38,55
454817,1,5,16,20,27,54
454917,4,15,18,38,47,53
455017,7,20,41,47,51,58
455117,33,38,39,47,48,53
455217,30,32,50,52,53,55
455317,19,20,21,34,48,57
455417,17,21,36,42,46,51
455517,1,3,22,25,31,53
455617,12,22,32,33,51,53
455717,1,8,10,38,41,55
455817,2,26,27,32,53,54
455917,1,5,13,14,39,51
456017,7,14,34,47,52,55
456117,2,17,36,41,44,51
456217,12,14,15,34,39,49
456317,13,27,29,37,40,55
456417,8,11,13,25,26,35
456517,10,14,19,26,43,45
456617,4,26,27,43,45,56
456717,20,28,41,45,51,53
456817,4,5,13,20,55,56
456917,20,23,25,45,48,57
457017,13,23,25,26,53,58
457117,14,34,45,46,54,55
457217,14,20,33,40,42,51
457317,10,12,21,38,51,55
457417,7,12,20,26,36,51
457517,5,36,40,50,52,53
457617,5,18,20,26,36,49
457717,1,26,27,32,39,58
457817,7,8,14,33,49,58
457917,5,18,21,26,40,44
458017,1,11,24,35,42,49
458117,12,14,16,46,48,57
458217,9,11,25,35,39,51
458317,8,22,23,24,32,58
458417,3,6,7,20,31,41
458517,5,6,26,28,30,49
458617,1,24,26,28,41,53
458717,1,3,4,38,46,50
458817,11,15,32,35,39,41
458917,2,9,22,34,40,47
459017,1,8,16,19,24,36
459117,15,17,21,30,42,47
459217,6,24,27,28,34,48
459317,26,29,31,53,56,58
459417,8,15,16,25,31,35
459517,1,4,10,20,26,41
459617,4,8,29,35,47,52
459717,18,20,30,42,44,47
459817,9,13,45,53,54,55
459917,12,14,20,47,53,57
460017,5,30,36,42,48,51
460117,12,21,37,38,47,54
460217,27,34,37,41,52,53
460317,13,21,29,43,46,58
460417,13,18,22,34,43,46
460517,3,5,18,28,37,58
460617,12,13,22,24,47,57
460717,1,9,16,41,57,58
460817,5,7,9,23,33,35
460917,4,14,45,49,51,54
461017,3,13,14,22,33,58
461117,11,12,16,37,38,51
461217,3,9,20,52,56,58
461317,21,30,46,48,50,53
461417,7,30,36,39,42,44
461517,2,5,23,29,54,56
461617,19,33,44,48,51,53
461717,24,32,37,40,56,58
461817,4,31,36,42,50,56
461917,2,3,5,9,31,39
462017,16,19,23,43,47,50
462117,14,19,20,25,30,41
462217,5,7,14,17,42,43
462317,11,17,27,30,36,58
462417,1,7,8,14,27,44
462517,9,11,18,32,33,49
462617,17,22,27,29,52,56
462717,1,16,21,22,49,57
462817,20,32,33,50,54,57
462917,20,21,33,45,55,57
463017,7,16,18,25,27,50
463117,4,11,17,36,41,44
463217,10,13,14,29,36,54
463317,12,19,23,26,27,56
463417,14,33,37,42,53,56
463517,7,21,26,47,50,54
463617,10,12,15,23,43,49
463717,11,23,27,34,53,54
463817,11,12,30,35,45,47
463917,3,10,20,56,57,58
464017,1,6,28,38,46,57
464117,2,4,6,9,56,57
464217,3,4,11,22,28,56
464317,9,11,12,14,31,53
464417,9,10,14,28,30,55
464517,20,25,27,34,41,46
464617,19,21,32,33,34,55
464717,3,6,22,27,33,39
464817,4,6,11,36,48,50
464917,1,14,15,18,35,43
465017,7,20,32,38,45,49
465117,3,7,12,23,25,46
465217,3,10,27,29,32,48
465317,6,29,31,46,53,58
465417,37,42,44,45,46,54
465517,10,30,33,36,44,45
465617,2,6,13,26,41,48
465717,1,13,33,39,48,54
465817,14,27,28,33,46,47
465917,5,14,24,34,52,53
466017,4,15,18,19,26,57
466117,2,14,20,35,41,45
466217,11,20,29,40,43,57
466317,15,18,29,44,55,58
466417,11,25,27,41,42,49
466517,5,7,26,34,46,50
466617,1,6,15,19,37,40
466717,16,33,38,53,55,57
466817,7,40,44,45,48,57
466917,1,6,9,39,42,58
467017,6,9,27,40,41,50
467117,5,10,31,36,46,53
467217,8,30,32,34,37,39
467317,13,22,24,32,36,39
467417,4,13,19,21,33,58
467517,1,3,6,18,22,52
467617,11,16,18,24,50,58
467717,13,15,16,21,38,47
467817,4,37,50,56,57,58
467917,19,20,42,43,47,53
468017,5,7,17,28,34,37
468117,2,7,17,37,44,55
468217,6,9,13,37,42,54
468317,1,4,6,20,33,41
468417,4,8,29,31,37,44
468517,7,15,16,20,32,52
468617,11,12,20,30,32,49
468717,3,5,30,32,45,55
468817,6,7,17,28,39,58
468917,5,9,29,38,42,52
469017,4,8,40,42,55,56
469117,1,36,42,45,55,58
469217,16,18,24,31,44,54
469317,5,18,21,28,37,49
469417,24,26,28,30,40,54
469517,1,5,10,22,39,45
469617,4,7,9,34,35,53
469717,10,15,23,28,50,53
469817,20,21,23,29,49,56
469917,12,29,31,34,35,39
470017,7,10,14,15,16,26
470117,21,25,27,33,37,46
470217,8,11,13,19,21,24
470317,6,14,16,33,46,58
470417,3,8,21,22,27,57
470517,4,19,21,30,32,46
470617,10,12,41,42,45,51
470717,7,9,27,30,34,54
470818,7,8,24,38,39,54
470918,2,7,26,28,29,30
471018,15,21,44,47,51,55
471118,11,20,38,52,53,55
471218,21,30,41,43,52,58
471318,5,11,15,27,53,58
471418,6,42,44,46,53,57
471518,3,11,37,44,45,47
471618,9,34,36,52,53,55
471718,10,19,29,34,35,54
471818,3,19,20,27,51,58
471918,3,11,16,45,54,58
472018,7,10,22,49,57,58
472118,2,16,30,37,45,54
472218,25,27,36,41,42,58
472318,4,20,35,42,46,58
472418,2,8,23,34,48,58
472518,18,21,26,27,48,52
472618,11,17,18,37,46,54
472718,10,16,22,26,32,42
472818,7,17,20,24,25,31
472918,4,27,44,46,51,55
473018,7,8,15,23,31,36
473118,8,9,14,29,35,48
473218,3,28,33,47,49,53
473318,10,41,42,47,48,57
473418,13,27,34,39,41,45
473518,3,12,26,27,52,58
473618,3,11,31,36,39,46
473718,2,10,17,38,49,50
473818,2,26,30,31,36,49
473918,3,7,20,23,28,58
474018,1,16,37,40,42,45
474118,4,9,34,37,43,49
474218,1,2,8,14,47,52
474318,10,13,21,33,38,54
474418,3,6,26,29,46,55
474518,8,14,17,20,22,28
474618,16,24,25,28,57,58
474718,30,33,41,44,45,52
474818,2,10,16,21,36,39
474918,8,23,26,45,47,56
475018,27,30,33,41,43,48
475118,13,22,31,45,49,50
475218,2,11,35,37,44,56
475318,3,20,25,34,39,47
475418,8,18,32,42,43,48
475518,5,20,26,28,43,46
475618,6,7,11,32,36,42
475718,3,13,15,38,41,54
475818,11,16,25,28,29,32
475918,10,26,27,48,56,57
476018,15,24,40,42,46,55
476118,7,13,34,36,40,47
476218,12,14,17,23,37,44
476318,21,23,38,44,45,57
476418,8,10,24,32,44,57
476518,9,14,23,26,41,46
476618,6,14,20,23,33,57
476718,6,26,30,51,53,54
476818,7,16,25,34,47,57
476918,7,15,28,39,42,47
477018,1,21,23,33,49,50
477118,12,14,24,36,47,54
477218,1,5,12,13,26,29
477318,2,5,8,9,12,15
477418,1,16,17,21,27,36
477518,14,39,40,49,54,57
477618,11,25,36,48,49,54
477718,24,25,30,31,32,54
477818,4,19,25,28,31,38
477918,5,10,14,26,50,53
478018,14,15,19,22,27,39
478118,17,26,27,40,43,50
478218,6,12,35,37,40,49
478318,12,16,17,18,19,49
478418,3,33,38,39,40,51
478518,6,26,29,51,52,56
478618,24,32,37,40,42,49
478718,5,12,14,40,48,53
478818,10,16,24,39,42,50
478918,6,10,17,18,52,54
479018,9,24,32,42,43,57
479118,16,20,38,40,43,55
479218,4,13,15,18,48,56
479318,1,26,31,39,40,52
479418,2,9,33,39,46,57
479518,5,8,24,34,46,54
479618,3,20,29,30,46,54
479718,11,27,37,38,44,51
479818,7,12,20,33,40,53
479918,11,24,31,35,37,44
480018,19,23,29,30,35,51
480118,21,38,39,53,54,56
480218,2,17,19,26,29,56
480318,11,15,18,46,53,58
480418,10,35,45,51,57,58
480518,12,23,28,40,43,56
480618,2,10,31,33,43,47
480718,8,18,28,32,37,43
480818,1,14,21,34,42,52
480918,6,7,20,27,37,38
481018,11,28,32,44,45,52
481118,4,15,23,27,33,37
481218,10,19,20,24,35,41
481318,14,33,34,40,48,58
481418,8,19,30,42,43,54
481518,10,15,17,40,52,57
481618,12,18,30,32,42,50
481718,2,12,14,19,23,25
481818,6,22,27,34,40,50
481918,2,3,6,18,25,45
482018,6,8,10,18,20,38
482118,8,14,26,28,37,49
482218,11,16,24,40,46,54
482318,1,25,32,33,46,52
482418,18,24,25,28,32,33
482518,11,12,43,46,50,58
482618,20,32,43,48,54,55
482718,1,3,7,20,35,58
482818,11,26,31,36,41,52
482918,7,17,26,30,38,40
483018,3,14,17,23,37,38
483118,1,6,14,31,37,43
483218,8,10,20,31,32,41
483318,11,33,43,45,50,57
483418,6,13,29,37,45,46
483518,29,31,39,42,51,53
483618,18,19,28,53,56,58
483718,10,15,18,23,25,52
483818,12,17,26,29,34,37
483918,14,22,36,38,43,45
484018,5,6,7,26,38,57
484118,3,10,13,25,48,49
484218,16,26,30,42,47,49
484318,8,10,28,31,46,47
484418,7,8,15,17,32,43
484518,1,12,29,36,39,42
484618,3,22,27,37,40,54
484718,18,19,34,46,48,57
484818,4,11,20,23,48,55
484918,12,13,19,25,26,39
485018,2,38,44,47,53,57
485118,19,30,35,36,38,49
485218,5,6,32,33,48,53
485318,29,34,35,38,43,49
485418,3,17,26,41,45,46
485518,5,7,34,42,45,55
485618,6,19,25,28,45,49
485718,2,3,14,20,36,57
485818,3,29,30,47,51,52
485918,8,21,29,30,40,48
486018,2,8,12,13,22,57
486118,2,17,24,48,50,56
486218,1,2,8,22,45,54
486318,3,7,10,29,55,58
486418,8,23,24,48,51,58
486518,4,15,18,26,34,47
486618,2,3,25,29,40,50
486718,3,5,30,36,40,55
486818,11,23,26,43,46,52
486918,16,17,25,30,41,54
487018,5,12,32,35,36,45
487118,3,18,37,39,40,49
487218,3,4,5,15,20,23
487318,1,12,26,37,39,50
487418,4,17,25,35,41,58
487518,3,19,36,45,55,56
487618,6,8,13,34,48,55
487718,20,22,37,47,55,56
487818,1,8,12,17,21,25
487918,11,14,38,40,42,43
488018,11,18,25,28,50,52
488118,23,26,36,41,42,53
488218,12,24,30,32,46,48
488318,20,26,29,33,46,47
488418,1,16,34,38,48,58
488518,4,12,17,24,26,39
488619,2,3,19,23,30,49
488719,2,9,24,29,38,45
488819,11,47,49,51,53,55
488919,5,29,30,53,55,57
489019,1,7,29,31,40,51
489119,13,27,30,40,43,51
489219,5,15,18,19,28,53
489319,2,6,23,27,31,43
489419,1,23,25,28,43,49
489519,9,19,24,29,56,57
489619,17,32,33,36,50,53
489719,7,11,18,25,39,58
489819,3,4,41,43,44,52
489919,2,6,16,23,27,32
490019,1,3,13,19,35,58
490119,4,5,6,29,45,55
490219,1,4,5,13,24,56
490319,10,22,35,36,45,58
490419,7,14,16,29,45,57
490519,5,9,13,25,38,40
490619,16,18,22,40,44,54
490719,2,7,12,37,52,56
490819,6,9,13,21,37,43
490919,14,19,38,45,53,55
491019,8,26,42,45,49,53
491119,6,24,27,29,30,43
491219,16,29,31,43,52,54
491319,2,14,16,19,21,37
491419,9,22,24,28,50,58
491519,1,2,19,29,43,54
491619,4,16,19,32,39,50
491719,1,9,15,17,46,48
491819,8,16,27,28,52,55
491919,16,20,30,41,53,58
492019,11,12,19,27,31,36
492119,6,13,14,32,44,50
492219,13,17,33,38,48,58
492319,10,16,22,24,33,49
492419,4,6,18,28,38,58
492519,19,27,42,43,44,48
492619,16,37,38,42,50,53
492719,4,16,18,31,32,44
492819,2,7,38,44,52,55
492919,4,19,27,29,41,47
493019,7,20,33,39,49,57
493119,7,9,11,17,19,25
493219,24,26,27,29,40,50
493319,7,8,14,22,35,58
493419,16,36,47,48,49,50
493519,5,16,22,23,34,52
493619,20,22,24,28,36,57
493719,5,12,14,37,46,53
493819,2,12,13,22,41,56
493919,7,15,18,45,47,55
494019,26,35,36,43,46,54
494119,17,28,30,47,54,55
494219,30,47,48,53,54,57
494319,3,29,36,45,53,55
494419,13,15,18,23,43,52
494519,11,19,21,33,35,58
494619,3,18,40,44,53,58
494719,19,20,25,26,28,52
494819,7,10,14,19,37,54
494919,3,18,31,33,37,44
495019,1,4,18,24,47,50
495119,1,8,11,12,27,53
495219,1,3,15,18,40,46
495319,12,14,29,31,54,55
495419,20,34,39,43,57,58
495519,13,22,27,37,46,53
495619,4,8,14,34,37,48
495719,1,4,8,24,42,45
495819,1,22,24,54,57,58
495919,18,33,35,46,52,58
496019,5,10,17,29,35,41
496119,8,11,36,42,48,51
496219,20,22,25,33,46,53
496319,14,22,27,34,54,56
496419,1,11,27,33,46,52
496519,7,13,14,17,21,56
496619,12,13,15,23,31,58
496719,9,22,28,31,47,54
496819,8,10,22,44,45,51
496919,5,6,13,15,22,24
497019,11,15,27,31,45,58
497119,11,15,20,29,31,41
497219,6,12,15,37,54,55
497319,6,35,40,42,43,45
497419,1,18,35,42,43,58
497519,5,27,30,34,36,49
497619,14,23,31,33,38,45
497719,8,21,28,43,49,58
497819,8,18,32,50,54,55
497919,14,17,24,30,39,46
498019,6,8,22,23,35,41
498119,12,17,23,40,48,52
498219,25,34,35,47,57,58
498319,5,11,16,24,25,43
498419,2,6,13,46,47,51
498519,7,14,24,25,46,49
498619,19,22,27,31,45,50
498719,7,15,22,25,28,50
498819,29,30,46,50,52,54
498919,22,29,34,35,38,53
499019,2,12,14,17,46,48
499119,7,10,18,26,30,51
499219,1,9,12,17,28,38
499319,2,17,21,37,40,55
499419,16,38,46,47,48,50
499519,25,41,44,47,48,56
499619,28,36,39,46,52,56
499719,8,11,19,27,47,55
499819,1,19,24,35,42,49
499919,11,21,29,30,35,41
500019,7,15,31,45,46,58
500119,2,16,19,33,39,58
500219,3,8,19,23,30,51
500319,3,4,7,44,49,52
500419,17,20,23,36,53,58
500519,4,5,37,41,54,58
500619,4,5,17,23,31,34
500719,3,5,6,19,22,35
500819,3,9,17,30,43,47
500919,3,4,14,26,50,57
501019,2,7,25,34,36,50
501119,4,12,13,35,39,54
501219,16,17,19,28,54,55
501319,6,17,21,37,50,52
501419,21,27,38,39,41,46
501519,4,28,40,43,44,58
501619,13,15,36,40,49,57
501719,9,15,21,26,27,53
501819,4,9,13,17,47,58
501919,24,29,33,46,55,57
502019,13,34,38,42,47,48
502119,12,20,30,34,50,51
502219,17,28,29,33,44,53
502319,20,28,46,47,55,57
502419,9,28,30,45,49,53
502519,11,15,22,34,37,57
502619,10,30,42,43,48,58
502719,3,17,32,36,43,49
502819,2,5,6,22,27,29
502919,19,27,34,40,42,55
503019,2,7,11,13,20,42
503119,3,44,45,47,53,56
503219,4,9,17,21,48,50
503319,28,30,33,49,51,52
503419,7,20,25,38,43,56
503519,3,10,17,41,46,47
503619,11,13,50,51,54,55
503719,17,30,39,47,51,52
503819,9,10,17,34,40,51
503919,3,9,17,26,34,50
504019,17,20,21,36,41,50
504119,5,11,21,33,48,57
504219,14,32,37,38,42,56
504319,8,18,31,41,42,48
504419,18,39,40,44,45,49
504519,12,14,31,35,47,57
504619,2,13,25,34,42,48
504719,7,23,25,28,33,56
504819,2,22,26,42,49,55
504919,5,7,27,31,52,57
505019,7,10,11,13,23,45
505119,26,33,36,40,49,52
505219,17,23,27,37,46,51
505320,9,18,48,50,53,57
505420,16,17,34,35,44,52
505520,16,23,25,32,45,57
505620,3,17,36,45,49,50
505720,3,10,11,26,38,53
505820,7,12,31,41,47,49
505920,9,12,17,20,27,28
506020,14,22,25,43,53,54
506120,5,7,32,42,43,58
506220,12,18,44,47,50,54
506320,1,18,26,34,47,55
506420,1,27,29,35,40,50
506520,2,5,11,16,28,36
506620,1,7,18,20,27,34
506720,22,25,38,39,40,53
506820,5,9,15,29,35,51
506920,13,19,24,37,40,42
507020,25,33,44,50,53,56
507120,19,27,34,36,40,52
507220,15,29,31,52,54,58
507320,4,8,11,15,46,47
507420,2,12,16,32,41,52
507520,9,14,16,27,39,49
507620,2,30,46,53,54,57
507720,4,16,23,45,54,56
507820,14,25,42,50,53,56
507920,7,12,13,18,42,52
508020,4,24,35,40,41,48
508120,6,12,33,46,51,56
508220,1,4,15,24,41,43
508320,7,26,39,40,46,57
508420,17,24,47,55,57,58
508520,3,28,38,39,49,50
508620,7,13,20,23,24,27
508720,14,18,21,22,46,49
508820,1,18,19,23,24,58
512920,12,26,31,33,43,54
513020,21,30,43,45,48,56
513120,15,16,32,44,47,50
513220,16,21,36,40,45,56
513320,7,9,14,23,47,53
513420,20,23,26,27,43,57
513520,22,23,27,35,53,58
513620,25,26,40,45,49,58
513720,16,26,28,29,31,36
513820,22,29,31,43,49,57
513920,15,18,29,42,43,51
514020,8,20,37,51,55,58
514120,4,9,29,30,40,49
514220,6,13,17,26,32,47
514320,12,19,27,28,38,50
514420,26,35,46,49,55,57
514520,1,5,22,24,46,52
514620,3,18,36,52,54,57
514720,14,26,29,32,42,47
514820,5,16,18,42,56,58
514920,2,5,17,20,43,54
515020,1,4,5,13,15,41
515120,9,29,30,46,51,58
515220,5,7,22,23,25,47
515320,5,7,9,44,51,57
515420,6,21,42,44,47,52
515520,3,16,31,38,40,53
515620,2,5,8,14,25,30
515720,12,18,39,40,54,58
515820,12,16,35,38,40,41
515920,3,7,25,39,47,52
516020,2,19,23,43,48,51
516120,8,11,18,32,46,52
516220,3,30,31,32,33,38
516320,1,6,34,36,49,58
516420,17,25,39,43,55,57
516520,3,8,17,53,56,58
516620,11,20,27,36,39,40
516720,9,22,23,24,32,36
516820,4,30,43,47,56,58
516920,6,8,10,17,18,52
517020,10,13,26,33,48,50
517120,6,10,17,26,27,32
517220,5,11,18,43,49,55
517320,13,21,25,37,55,57
517420,5,8,9,15,42,43
517520,8,18,29,38,40,49
517620,1,7,17,35,37,40
517720,5,7,14,41,47,56
517820,4,8,32,38,40,50
517920,4,14,23,33,54,56
518020,22,29,31,45,48,53
518120,18,19,24,33,39,44
518220,4,12,14,26,32,35
518320,3,23,31,32,47,53
518420,9,17,30,33,39,58
518520,1,8,33,36,48,58
518620,5,6,24,26,31,46
518720,7,19,48,53,54,56
518820,3,8,12,19,24,44
518920,13,23,29,38,39,43
519020,39,47,52,55,57,58
519120,4,15,19,25,39,42
519220,14,26,28,39,48,52
519320,1,7,26,40,49,55
519420,1,17,20,26,27,34
519520,2,6,10,12,13,48
519620,10,14,24,29,53,57
519720,9,15,18,35,53,56
519820,1,4,16,23,43,50
519920,14,24,33,34,36,46
520020,4,5,14,40,43,50
520120,3,7,17,28,45,50
520220,5,8,11,26,50,51
520320,13,17,19,23,48,49
520420,8,20,25,39,47,51
520520,16,17,19,26,50,56
520620,4,16,31,48,49,50
